구분,차수,온도
구간 전체,2차,-6.8
구간 전체,2차,-6.2
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.6
구간 전체,2차,-6.7
구간 전체,2차,-6.6
구간 전체,2차,-6.6
구간 전체,2차,-6.4
구간 전체,2차,-6.6
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.1
구간 전체,2차,-6.2
구간 전체,2차,-5.8
구간 전체,2차,-6
구간 전체,2차,-5.9
구간 전체,2차,-5.9
구간 전체,2차,-5.9
구간 전체,2차,-6
구간 전체,2차,-5.9
구간 전체,2차,-5.9
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-6.3
구간 전체,2차,-6
구간 전체,2차,-6.1
구간 전체,2차,-6.2
구간 전체,2차,-6
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.6
구간 전체,3차,-2.8
구간 전체,3차,-2.9
구간 전체,3차,-3.2
구간 전체,3차,-3
구간 전체,3차,-2.9
구간 전체,3차,-2.9
구간 전체,3차,-2.9
구간 전체,3차,-2.8
구간 전체,3차,-3
구간 전체,3차,-3.1
구간 전체,3차,-3.3
구간 전체,3차,-3.7
구간 전체,3차,-3.8
구간 전체,3차,-4
구간 전체,3차,-4.1
구간 전체,3차,-3.9
구간 전체,3차,-3.6
구간 전체,3차,-3.5
구간 전체,3차,-3.5
구간 전체,3차,-3.7
구간 전체,3차,-4.1
구간 전체,3차,-4.1
구간 전체,3차,-4.1
구간 전체,3차,-3.8
구간 전체,3차,-2.6
구간 전체,3차,-2.2
구간 전체,3차,-2.4
구간 전체,3차,-2.7
구간 전체,3차,-3.1
구간 전체,3차,-3.4
구간 전체,3차,-3.8
구간 전체,3차,-3.8
구간 전체,3차,-3
구간 전체,3차,-2.6
구간 전체,3차,-2.5
구간 전체,3차,-2.6
구간 전체,3차,-2.5
구간 전체,3차,-2.8
구간 전체,3차,-2.3
구간 전체,3차,-2.3
구간 전체,3차,-2.5
구간 전체,3차,-2.8
구간 전체,3차,-2.7
구간 전체,3차,-2.8
구간 전체,3차,-2.9
구간 전체,3차,-2.9
구간 전체,3차,-2.9
구간 전체,3차,-3
구간 전체,3차,-2.5
구간 전체,3차,-3
구간 전체,3차,-3.8
구간 전체,3차,-4.3
구간 전체,3차,-4.4
구간 전체,3차,-4.3
구간 전체,3차,-4.5
구간 전체,3차,-4.5
구간 전체,3차,-4.7
구간 전체,3차,-4.6
구간 전체,3차,-4.6
구간 전체,3차,-4.6
구간 전체,3차,-4.6
구간 전체,3차,-4.7
구간 전체,3차,-4.8
구간 전체,3차,-4.7
구간 전체,3차,-4.8
구간 전체,3차,-4.7
구간 전체,3차,-5
구간 전체,3차,-4.9
구간 전체,3차,-4.9
구간 전체,3차,-4.7
구간 전체,3차,-5
구간 전체,3차,-4.6
구간 전체,3차,-4.6
구간 전체,3차,-4.4
구간 전체,3차,-4.5
구간 전체,3차,-4.6
구간 전체,3차,-4.4
구간 전체,3차,-4.7
구간 전체,3차,-3.8
구간 전체,3차,-3.3
구간 전체,3차,-3.6
구간 전체,3차,-3.3
구간 전체,3차,-3.4
구간 전체,3차,-3
구간 전체,3차,-3
구간 전체,3차,-2.8
구간 전체,3차,-2.6
구간 전체,3차,-2.8
구간 전체,3차,-2.9
구간 전체,3차,-3
구간 전체,3차,-3
구간 전체,3차,-2.7
구간 전체,3차,-2.3
구간 전체,3차,-2.6
구간 전체,3차,-2.8
구간 전체,3차,-2.8
구간 전체,3차,-2.6
구간 전체,3차,-2.6
구간 전체,3차,-2.7
구간 전체,3차,-2.9
구간 전체,3차,-3
구간 전체,3차,-3
구간 전체,3차,-2.8
구간 전체,3차,-2.8
구간 전체,3차,-3.2
구간 전체,3차,-3.5
구간 전체,3차,-3.6
구간 전체,3차,-3.6
구간 전체,3차,-3.6
구간 전체,3차,-3.7
구간 전체,3차,-3.6
구간 전체,3차,-3.7
구간 전체,3차,-3.5
구간 전체,3차,-3.3
구간 전체,3차,-3.5
구간 전체,3차,-3.5
구간 전체,3차,-2.9
구간 전체,3차,-3
구간 전체,3차,-3.1
구간 전체,3차,-2.4
구간 전체,3차,-2.4
구간 전체,3차,-2.8
구간 전체,3차,-3.7
구간 전체,3차,-3.5
구간 전체,3차,-3.4
구간 전체,3차,-3.6
구간 전체,3차,-3.4
구간 전체,3차,-3.3
구간 전체,3차,-3.4
구간 전체,3차,-3.3
구간 전체,3차,-3.4
구간 전체,3차,-3.3
구간 전체,3차,-3.6
구간 전체,3차,-3.4
구간 전체,3차,-3.2
구간 전체,3차,-3.3
구간 전체,3차,-3.2
구간 전체,3차,-3.4
구간 전체,3차,-3.4
구간 전체,3차,-3.2
구간 전체,3차,-3.1
구간 전체,3차,-3.3
구간 전체,3차,-3.4
구간 전체,3차,-3.4
구간 전체,3차,-3.5
구간 전체,3차,-3.8
구간 전체,3차,-4.1
구간 전체,3차,-3.7
구간 전체,3차,-3
구간 전체,3차,-3.2
구간 전체,3차,-2.9
구간 전체,3차,-3
구간 전체,3차,-3
구간 전체,3차,-2.8
구간 전체,3차,-2.9
구간 전체,3차,-2.7
구간 전체,3차,-2.8
구간 전체,3차,-2.9
구간 전체,3차,-2.9
구간 전체,3차,-3.1
구간 전체,3차,-3
구간 전체,3차,-2.7
구간 전체,3차,-2.6
구간 전체,3차,-2.5
구간 전체,3차,-2.9
구간 전체,3차,-2.9
구간 전체,3차,-2.7
구간 전체,3차,-2.7
구간 전체,3차,-2.8
구간 전체,3차,-3.2
구간 전체,3차,-3.2
구간 전체,3차,-3.6
구간 전체,3차,-3.6
구간 전체,3차,-3.1
구간 전체,3차,-3.1
구간 전체,3차,-3
구간 전체,3차,-3.4
구간 전체,3차,-3.6
구간 전체,3차,-3.9
구간 전체,3차,-3.8
구간 전체,3차,-3.9
구간 전체,3차,-3.5
구간 전체,3차,-3.2
구간 전체,3차,-3.4
구간 전체,3차,-3.3
구간 전체,3차,-3.3
구간 전체,3차,-3.6
구간 전체,3차,-3.4
구간 전체,3차,-3.5
구간 전체,3차,-3.4
구간 전체,3차,-3.3
구간 전체,3차,-3.2
구간 전체,3차,-3.2
구간 전체,3차,-3.5
구간 전체,3차,-4.2
구간 전체,3차,-4.4
구간 전체,3차,-4.6
